date time sf type
2017-04-29 median 77.0 H
2017-04-30 median 77.4 H
2017-05-01 median 75.3 H
2017-05-02 median 77.2 H
2017-05-03 median 74.7 H
2017-05-04 median 74.4 H
2017-05-05 median 74.0 H
2017-05-06 median 72.0 H
2017-05-07 median 71.7 H
2017-05-08 median 70.5 H
2017-05-09 median 68.9 H
2017-05-10 median 69.4 H
2017-05-11 median 69.1 H
2017-05-12 median 69.4 H
2017-05-13 median 70.4 H
2017-05-14 median 70.7 H
2017-05-15 median 70.6 H
2017-05-16 median 71.0 H
2017-05-17 median 71.8 H
2017-05-18 median 72.2 H
2017-05-19 median 72.3 H
2017-07-09 median 90.9 H
2017-07-10 median 92.9 H
2017-07-11 median 91.1 H
2017-07-12 median 90.2 H
2017-07-13 median 92.0 H
2017-07-18 median 78.4 H
2017-07-19 median 73.1 H
2017-07-20 median 70.2 H
2017-07-21 median 69.4 H
2017-07-22 median 69.7 H
2017-07-23 median 70.6 H
2017-07-24 median 70.1 H
2017-07-25 median 70.0 H
2017-07-26 median 68.6 H
2017-07-27 median 68.4 H
2017-07-28 median 69.9 H
2017-07-29 median 69.9 H
2017-07-30 median 69.5 H
2017-07-31 median 72.7 H
2017-08-01 median 73.6 H
2017-08-02 median 75.5 H
2017-08-03 median 75.3 H
2017-08-04 median 74.2 H
2017-08-05 median 74.1 H
2017-08-06 median 73.5 H
2017-08-07 median 73.4 H
2017-08-08 median 71.2 H
2017-08-09 median 71.9 H
2017-08-10 median 71.0 H
2017-08-11 median 70.4 H
2017-08-12 median 70.3 H
2017-08-13 median 68.8 H
2017-08-14 median 73.0 H
2017-08-15 median 74.6 H
2017-08-16 median 77.3 H
2017-08-17 median 76.7 H
2017-08-18 median 81.8 H
2017-08-19 median 86.8 H
2017-08-20 median 86.0 H
2017-08-21 median 89.2 H
2017-08-22 median 88.8 H
2017-08-23 median 85.3 H
2017-08-24 median 80.0 H
2017-08-25 median 80.8 H
2017-08-26 median 78.5 H
2017-08-27 median 78.2 H
2017-08-28 median 82.6 H
2017-08-29 median 85.2 H
